,got_criteria,username,tweet_text,date,hashtags,retweets,original_creator
0,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a59e8>,KRobert1953,"Let's see. Fair? R III GGG HHH TTT. Fair jurors , Democratic? R i g h t . Like ""fair"" minded Senators #Blumenthal,#Murphy, #Booker, #Harris, #Warren and #Bernie ? R I g h t.Difficult time when the media push Chuck as centrist and cooperative, not condescending &amp; partisan. Fair?",2019-12-16 23:59:13+00:00,#Blumenthal #Murphy #Booker #Harris #Warren #Bernie,0,thehill
1,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5ef0>,Teeparker8,"Well, although I am an avid, unflattering #Bernie supporter, 2nd choice being #Warren..I did like #Yang..But, anyone supporting him best look at how he backed out of #MedicareForAll ..and also wants to have more tort laws to dissuade defensive medicine. Not good!",2019-12-16 23:41:51+00:00,#Bernie #Warren #Yang #MedicareForAll,0,
2,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5a58>,kwgreatlakes,Check out our newest listing in #Warren! Tell us what you think! #realestate http://tour.corelistingmachine.com/home/NLHG4T,2019-12-16 23:37:18+00:00,#Warren #realestate,0,
3,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0c4b70>,RealtorKelli_,#warren 2020!!,2019-12-16 23:36:57+00:00,#warren,0,NPR
4,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab0b8>,flyingeze,Keep cash on hand as insurance against Warren win in 2020 - https://wp.me/pb0shr-2vl #Business #businessnews #cash #hand #Insurance #Investmentstrategy #JimCramer #Markets #Personalinvesting #Politics #Stockmarkets #Warren #WellsFargo&amp;Co #win #News,2019-12-16 23:32:36+00:00,#Business #businessnews #cash #hand #Insurance #Investmentstrategy #JimCramer #Markets #Personalinvesting #Politics #Stockmarkets #Warren #WellsFargo #win #News,0,
5,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5908>,DevonHeinen,"SCOOP (#2020election) via @ABC News's @cheyennehaslett, @lcbruggeman, @TomLlamasABC, @SashaPezenik &amp; @mattmosk: ""[Mike] #Bloomberg 'has to answer' for sexist comments, women should be released from NDAs: Elizabeth #Warren"" ",2019-12-16 23:18:52+00:00,#2020election #Bloomberg #Warren,0,
6,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab470>,lobsterstyle,"""Some people call you the elite—I call you my base."" RT@teddyschleifer Here are some photos of the #Buttigieg fundraiser in Napa -- with the famous wine cave and the chandelier with 1,500 Swarovski crystals #breaking #news #mayorpete #warren #dems #bernie #biden #MondayMotivation",2019-12-16 23:18:45+00:00,#Buttigieg #breaking #news #mayorpete #warren #dems #bernie #biden #MondayMotivation,2,teddyschleifer
7,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5f60>,Mike83236577,"#warren net worth $8.75M. Yea, a true hero for the working class. ",2019-12-16 23:14:42+00:00,#warren,0,ABC
8,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab8d0>,BrittanyClutter,Got this in the mail today! @ewarren #Warren ,2019-12-16 23:12:15+00:00,#Warren,0,
9,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab278>,Balkingpoints,"Mandatory #M4A. That is what polling is sharply against, it's favorable to #PublicOption. Easy frontal attack in the GE, swings would side with #GOP nom on it. #Bernie, dense as usual. #Warren, should know better #Dem2020",2019-12-16 23:08:57+00:00,#M4A #PublicOption #GOP #Bernie #Warren #Dem2020,0,JRubinBlogger
10,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5b00>,CSojourner,"#Warren is a fighter, too, yeah. But at least she knows to pick her battles. I would have voted for #Kamala if she won the primary, mind you, oh yeah, but not in the primary. Favoring #Kamala is not mandatory you know, it's quite the exaggeration to be calling me racist about it.",2019-12-16 23:08:39+00:00,#Warren #Kamala #Kamala,0,AFreshPrincess
11,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab630>,v_verite,"#Warren should answer for being a #Pretendian. I can’t think of anything more disqualifying than appropriating indigenous identity. Yet, she’s still in the race trying to leverage her gender to occupy the space of victim as her poll numbers plummet.",2019-12-16 23:08:33+00:00,#Warren #Pretendian,1,ABC
12,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0abb38>,lobsterstyle,"#breaking #news #warren #bloomberg #bernie #biden #MondayMotivation RT@Santucci Bloomberg 'has to answer' for sexist comments, women should be released from NDAs: Elizabeth Warren @ABC https://abcnews.go.com/Politics/bloomberg-answer-sexist-comments-women-released-ndas-elizabeth/story?id=67764371",2019-12-16 23:06:32+00:00,#breaking #news #warren #bloomberg #bernie #biden #MondayMotivation,1,Santucci
13,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab588>,CSojourner,"Well, now you're hearing it. Yeah, #Warren is also feisty and spunky. Nobody will be insulted by that though. The insult here is hyperbole too. I don't favor #Kamala because she didn't tell me any policy positions, she just scolded Joe, who doesn't matter anyway. It's moot.",2019-12-16 23:05:47+00:00,#Warren #Kamala,0,AFreshPrincess
14,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5eb8>,NJ_Perinatal,Benefits of Eating Healthy During #Pregnancy: http://bit.ly/2nepdeR #Perinatal #Westfield #Livingston #Warren #Teaneck #Belleville,2019-12-16 23:00:07+00:00,#Pregnancy #Perinatal #Westfield #Livingston #Warren #Teaneck #Belleville,0,
15,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab6d8>,Amin_Realty,See a virtual tour of one of our newest #listings 21080 CYMAN Avenue #Warren #MI http://tour.corelistingmachine.com/home/KMWPLP,2019-12-16 22:57:39+00:00,#listings #Warren #MI,0,
16,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab198>,CSojourner,"These are not slurs, these words are in the dictionary, they are part of our language and fit for public consumption. These adjectives have oft been applied to characterize ME without offense. You wouldn't have been offended if I said the same about #Warren. Oh, the hyperbole.",2019-12-16 22:55:17+00:00,#Warren,0,AFreshPrincess
17,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab5c0>,NineInchBride,"Doesn't matter what #Warren says. She's a duplicitous chatterbox, a straw in whatever political wind happens to be blowing, who will do NONE of the #Bernie things she's aping to win the nomination. It should be obvious she's a 50-face political opportunist who'll turn on a dime…",2019-12-16 22:53:38+00:00,#Warren #Bernie,0,OmanReagan
18,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a55c0>,laureldavilacpa,Elizabeth Warren @ewarren turned down lucrative job over advocacy group concerns. #WarrenDemocrats #Warren #Warren2020,2019-12-16 22:42:50+00:00,#WarrenDemocrats #Warren #Warren2020,21,
19,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab358>,lsfraser82,#Industrial Engineer - #Assembly needed in #Warren at #FCANorthAmericaCareers. Apply now! #job https://workfor.us/fcanorthamericacareers/2jy #Work4FCA,2019-12-16 22:27:38+00:00,#Industrial #Assembly #Warren #FCANorthAmericaCareers #job #Work4FCA,0,
20,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0abba8>,TheWayThingsAr1,"I strongly support @BernieSanders. I am not officially #BernieOrBust. I am strongly #NeverBiden and #NeverPete. When it comes to #Warren, I am non-committal. Even if I did intend to vote for her, I wouldn’t tell anyone. She needs to work harder for my vote. How about you?",2019-12-16 22:22:51+00:00,#BernieOrBust #NeverBiden #NeverPete #Warren,40,
21,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5e80>,kwgreatlakes,Just listed by Kristina Soper in #Warren #MI. 29273 Hayes Rd 5! Please retweet! http://tour.corelistingmachine.com/home/L6URK3,2019-12-16 22:22:33+00:00,#Warren #MI,0,
22,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5fd0>,ElectsWorld," #USA, Democratic primary #poll (in #California) : #Sanders : 26 % (+2) #Warren : 23 % (-5) #Biden : 19 % #Buttigieg : 12 % (+3) #Yang : 4 % (+1) ... #ChangeResearch, 10/12/19",2019-12-16 22:07:21+00:00,#USA #poll #California #Sanders #Warren #Biden #Buttigieg #Yang #ChangeResearch,0,
23,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab6a0>,BaltFang,This is #Bullshit #Warren #Scoring 95% #BernieSanders #Scoring 89% This False #Warren #FakeProgressive and #Warren doesn't have any #Ideas She #Steal #Ideas #BernieSanders #Started #GrassRoots,2019-12-16 22:00:23+00:00,#Bullshit #Warren #Scoring #BernieSanders #Scoring #Warren #FakeProgressive #Warren #Ideas #Steal #Ideas #BernieSanders #Started #GrassRoots,1,
24,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0a5da0>,AGutiGarcia,This is why a VAT is more efficient than a wealth tax or an increase in the corporate tax rate. #YangGang #wealthTax #Warren #Bernie,2019-12-16 21:54:06+00:00,#YangGang #wealthTax #Warren #Bernie,3,DanPriceSeattle
25,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab7f0>,Andrew_Kennis,"W/all due respect, @jmartNYT, was it fair to write ""[#Biden] fares slightly better in head-to-head polling against [#Trump] than either [#Bernie or #Warren],"" when the article you linked to in the same sentence noted that such an ""advantage"" was well ""w/in the margin of error""? ",2019-12-16 21:53:41+00:00,#Biden #Trump #Bernie #Warren,0,jmartNYT
26,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0ab748>,NiomiJA,Check this out supporters of #warren2020 #Warren #PeteButtigieg #JoeBiden #Biden2020 -this is why we need #BernieSanders2020,2019-12-16 21:47:24+00:00,#warren2020 #Warren #PeteButtigieg #JoeBiden #Biden2020 #BernieSanders2020,0,wendellpotter
27,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0aba58>,DiscountChuck,"Have you checked out #RhodyRoots in #Warren #RI? I wrote this article about them for @TheBayMag because I love this place and am thrilled at the fun, comic book-themed, super high quality and thoughtful food they produce right on Main Street near my home. http://thebaymagazine.com/stories/from-wheels-to-roots-in-warren,34033",2019-12-16 21:44:08+00:00,#RhodyRoots #Warren #RI,0,
28,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0abc88>,nickdirector,#Warren for life!,2019-12-16 21:40:00+00:00,#Warren,0,TheStagmania
29,<GetOldTweets3.models.Tweet.Tweet object at 0x7f1c8f0aba20>,Vladimirth,#Warren seeking role as #DemCentrist,2019-12-16 21:29:17+00:00,#Warren #DemCentrist,0,WalkerBragman
